LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TEACHERSALARY,PRY_15YREXP,USD,A,2017,59568.04285,
AUS,TEACHERSALARY,PRY_15YREXP,USD,A,2018,63097.7988009669,
AUS,TEACHERSALARY,PRY_START,USD,A,2017,41798.38696,
AUS,TEACHERSALARY,PRY_START,USD,A,2018,44286.5261634711,
AUS,TEACHERSALARY,PRY_TOP,USD,A,2017,59568.04285,
AUS,TEACHERSALARY,PRY_TOP,USD,A,2018,65420.7456850931,
AUT,TEACHERSALARY,PRY_15YREXP,USD,A,2017,49961.12753,
AUT,TEACHERSALARY,PRY_15YREXP,USD,A,2018,51788.127571159,
AUT,TEACHERSALARY,PRY_START,USD,A,2017,40548.15491,
AUT,TEACHERSALARY,PRY_START,USD,A,2018,42701.9271413177,
AUT,TEACHERSALARY,PRY_TOP,USD,A,2017,73501.36247,
AUT,TEACHERSALARY,PRY_TOP,USD,A,2018,76160.4819937012,
CAN,TEACHERSALARY,PRY_15YREXP,USD,A,2017,65473.84188,
CAN,TEACHERSALARY,PRY_15YREXP,USD,A,2018,67301.2289428496,
CAN,TEACHERSALARY,PRY_START,USD,A,2017,39221.95164,
CAN,TEACHERSALARY,PRY_START,USD,A,2018,39936.9292867296,
CAN,TEACHERSALARY,PRY_TOP,USD,A,2017,65473.84188,
CAN,TEACHERSALARY,PRY_TOP,USD,A,2018,67301.2289428496,
CZE,TEACHERSALARY,PRY_15YREXP,USD,A,2017,21006.54175,
CZE,TEACHERSALARY,PRY_15YREXP,USD,A,2018,24272.9523727531,
CZE,TEACHERSALARY,PRY_START,USD,A,2017,18943.86437,
CZE,TEACHERSALARY,PRY_START,USD,A,2018,21854.2951968204,
CZE,TEACHERSALARY,PRY_TOP,USD,A,2017,24784.89622,
CZE,TEACHERSALARY,PRY_TOP,USD,A,2018,28678.3636574876,
DNK,TEACHERSALARY,PRY_15YREXP,USD,A,2017,51505.83796,
DNK,TEACHERSALARY,PRY_15YREXP,USD,A,2018,57206.4222181393,
DNK,TEACHERSALARY,PRY_START,USD,A,2017,44918.73909,
DNK,TEACHERSALARY,PRY_START,USD,A,2018,48988.5371886801,
DNK,TEACHERSALARY,PRY_TOP,USD,A,2017,51505.83796,
DNK,TEACHERSALARY,PRY_TOP,USD,A,2018,57206.4222181393,
FIN,TEACHERSALARY,PRY_15YREXP,USD,A,2017,40991.05805,
FIN,TEACHERSALARY,PRY_15YREXP,USD,A,2018,42180.3877081032,
FIN,TEACHERSALARY,PRY_START,USD,A,2017,33408.36294,
FIN,TEACHERSALARY,PRY_START,USD,A,2018,33915.763180656,
FIN,TEACHERSALARY,PRY_TOP,USD,A,2017,43450.60879,
FIN,TEACHERSALARY,PRY_TOP,USD,A,2018,44711.2109705894,
FRA,TEACHERSALARY,PRY_15YREXP,USD,A,2017,35962.78019,
FRA,TEACHERSALARY,PRY_15YREXP,USD,A,2018,37700.0549795743,
FRA,TEACHERSALARY,PRY_START,USD,A,2017,29515.54333,
FRA,TEACHERSALARY,PRY_START,USD,A,2018,30871.9197004,
FRA,TEACHERSALARY,PRY_TOP,USD,A,2017,52373.92856,
FRA,TEACHERSALARY,PRY_TOP,USD,A,2018,54502.6231665622,
DEU,TEACHERSALARY,PRY_15YREXP,USD,A,2017,70693.44511,
DEU,TEACHERSALARY,PRY_15YREXP,USD,A,2018,74485.9228868483,
DEU,TEACHERSALARY,PRY_START,USD,A,2017,56534.69525,
DEU,TEACHERSALARY,PRY_START,USD,A,2018,60507.1679281012,
DEU,TEACHERSALARY,PRY_TOP,USD,A,2017,75001.61724,
DEU,TEACHERSALARY,PRY_TOP,USD,A,2018,79354.6649131532,
GRC,TEACHERSALARY,PRY_15YREXP,USD,A,2017,25997.98924,
GRC,TEACHERSALARY,PRY_15YREXP,USD,A,2018,26197.8210844349,
GRC,TEACHERSALARY,PRY_START,USD,A,2017,19374.29771,
GRC,TEACHERSALARY,PRY_START,USD,A,2018,19825.3781179507,
GRC,TEACHERSALARY,PRY_TOP,USD,A,2017,37698.8586,
GRC,TEACHERSALARY,PRY_TOP,USD,A,2018,38803.5178547924,
HUN,TEACHERSALARY,PRY_15YREXP,USD,A,2017,20629.05113,
HUN,TEACHERSALARY,PRY_15YREXP,USD,A,2018,21089.6743037884,
HUN,TEACHERSALARY,PRY_START,USD,A,2017,14226.93182,
HUN,TEACHERSALARY,PRY_START,USD,A,2018,14544.6029681299,
HUN,TEACHERSALARY,PRY_TOP,USD,A,2017,27031.17045,
HUN,TEACHERSALARY,PRY_TOP,USD,A,2018,27634.7456394469,
ISL,TEACHERSALARY,PRY_15YREXP,USD,A,2017,39477.20988,
ISL,TEACHERSALARY,PRY_15YREXP,USD,A,2018,42368.4515990228,
ISL,TEACHERSALARY,PRY_START,USD,A,2017,35755.8952,
ISL,TEACHERSALARY,PRY_START,USD,A,2018,38335.8433695072,
ISL,TEACHERSALARY,PRY_TOP,USD,A,2017,39477.20988,
ISL,TEACHERSALARY,PRY_TOP,USD,A,2018,42368.4515990228,
IRL,TEACHERSALARY,PRY_15YREXP,USD,A,2017,59458.85669,
IRL,TEACHERSALARY,PRY_15YREXP,USD,A,2018,61533.973141086,
IRL,TEACHERSALARY,PRY_START,USD,A,2017,33961.85093,
IRL,TEACHERSALARY,PRY_START,USD,A,2018,36552.6011631205,
IRL,TEACHERSALARY,PRY_TOP,USD,A,2017,68712.32084,
IRL,TEACHERSALARY,PRY_TOP,USD,A,2018,70967.4271372415,
ITA,TEACHERSALARY,PRY_15YREXP,USD,A,2017,34444.47468,
ITA,TEACHERSALARY,PRY_15YREXP,USD,A,2018,36603.5671270789,
ITA,TEACHERSALARY,PRY_START,USD,A,2017,28513.77897,
ITA,TEACHERSALARY,PRY_START,USD,A,2018,30403.287804628,
ITA,TEACHERSALARY,PRY_TOP,USD,A,2017,41914.31038,
ITA,TEACHERSALARY,PRY_TOP,USD,A,2018,44468.2238679753,
JPN,TEACHERSALARY,PRY_15YREXP,USD,A,2017,51593.00496,
JPN,TEACHERSALARY,PRY_15YREXP,USD,A,2018,51339.3254756841,
JPN,TEACHERSALARY,PRY_START,USD,A,2017,30631.01344,
JPN,TEACHERSALARY,PRY_START,USD,A,2018,30560.43809263,
JPN,TEACHERSALARY,PRY_TOP,USD,A,2017,63968.60637,
JPN,TEACHERSALARY,PRY_TOP,USD,A,2018,63561.6586127908,
KOR,TEACHERSALARY,PRY_15YREXP,USD,A,2017,53404.98168,
KOR,TEACHERSALARY,PRY_15YREXP,USD,A,2018,57179.3328300292,
KOR,TEACHERSALARY,PRY_START,USD,A,2017,30395.08709,
KOR,TEACHERSALARY,PRY_START,USD,A,2018,32485.2266806741,
KOR,TEACHERSALARY,PRY_TOP,USD,A,2017,84842.44085,
KOR,TEACHERSALARY,PRY_TOP,USD,A,2018,90910.9591704631,
LUX,TEACHERSALARY,PRY_15YREXP,USD,A,2017,102504.8216,
LUX,TEACHERSALARY,PRY_15YREXP,USD,A,2018,108624.175323805,
LUX,TEACHERSALARY,PRY_START,USD,A,2017,70192.27905,
LUX,TEACHERSALARY,PRY_START,USD,A,2018,74400.1200847976,
LUX,TEACHERSALARY,PRY_TOP,USD,A,2017,124035.5148,
